City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,praia da vitoria,38.7333,-27.0667,15.98,81,89,4.11,PT,1676470399
166,monrovia,6.3005,-10.7969,30.87,67,89,3.81,LR,1676470380
167,kahului,20.8947,-156.47,19.91,89,40,2.57,US,1676470195
168,hermanus,-34.4187,19.2345,19.89,76,99,6.25,ZA,1676470402
169,luganville,-15.5333,167.1667,25.28,93,100,2.54,VU,1676470403
170,lipin bor,60.2622,37.9763,-10.83,97,30,1.74,RU,1676470404
171,bolu,40.6667,31.5833,-1.52,90,96,4.14,TR,1676470405
172,kysyl-syr,63.8986,122.7617,-33.96,100,95,1.14,RU,1676470406
173,pevek,69.7008,170.3133,-41.05,99,56,1.53,RU,1676470407
174,tuscaloosa,33.2098,-87.5692,16.88,92,100,3.6,US,1676470385
175,soe,-9.8607,124.284,19.24,93,99,1.13,ID,1676470410
176,viedma,-40.8135,-62.9967,21.4,29,89,5.75,AR,1676470412
177,puerto ayacucho,5.6639,-67.6236,26.23,79,100,1.07,VE,1676470413
178,udachnyy,66.4167,112.4,-24.17,100,98,1.13,RU,1676470414
179,sovetskaya gavan,48.9723,140.2878,-18.26,77,1,3.09,RU,1676470344
180,grindavik,63.8424,-22.4338,2.97,64,75,6.69,IS,1676470416
181,hamilton,39.1834,-84.5333,16.03,73,40,8.75,US,1676469870
182,waipawa,-41.4122,175.5153,14.28,95,100,5.79,NZ,1676470417
183,olinda,-8.0089,-34.8553,28.85,70,40,3.6,BR,1676470418
184,kalugumalai,9.15,77.7167,26.6,39,4,3.22,IN,1676470420
185,beringovskiy,63.05,179.3167,-32.05,96,35,2.87,RU,1676470344
186,aksay,47.26,39.87,-1.53,95,98,3.13,RU,1676470422
187,san quintin,30.4833,-115.95,11.21,64,38,6.84,MX,1676470423
188,ierapetra,35.01,25.7353,12.35,55,5,11.13,GR,1676470424
189,narsaq,60.9167,-46.05,-19.88,66,2,2.18,GL,1676470424
190,saldanha,-33.0117,17.9442,19.91,77,0,12.68,ZA,1676470426
191,yamada,39.4667,141.95,-4.83,80,43,3.06,JP,1676470427
192,dasoguz,41.8363,59.9666,4.08,30,100,6.46,TM,1676470428
193,omaha,41.2586,-95.9378,-2.03,79,100,11.32,US,1676470331
194,havre,49.5833,0.3333,15.19,41,0,4.12,FR,1676470431
195,airai,-8.9266,125.4092,15.93,93,90,0.34,TL,1676470433
196,sibu,2.3,111.8167,22.47,97,93,0.69,MY,1676470434
197,williston,48.147,-103.618,-13.99,97,46,1.65,US,1676470409
198,bathsheba,13.2167,-59.5167,28.34,65,20,9.77,BB,1676470436
199,azangaro,-14.9167,-70.2167,11.71,58,100,0.65,PE,1676470438
200,kailua,21.4022,-157.7394,21.19,91,46,1.79,US,1676470439
201,uglegorsk,49.0833,142.0333,-23.01,97,10,1.78,RU,1676470440
202,okitipupa,6.5047,4.7839,38.38,15,13,1.64,NG,1676470440
203,tongchuan,35.0806,109.0897,1.64,83,77,0.74,CN,1676470442
204,morant bay,17.8815,-76.4093,26.51,74,36,5.6,JM,1676470443
205,cayenne,4.9333,-52.3333,29.02,74,75,7.72,GF,1676470444
206,lukovetskiy,64.2956,41.9211,-13.13,99,92,1.24,RU,1676470445
207,wagar,16.1525,36.2032,30.14,24,60,7.83,SD,1676470446
208,sabha,27.0377,14.4283,16.28,30,10,5.41,LY,1676470447
209,tautira,-17.7333,-149.15,26.86,76,19,2.97,PF,1676470448
210,saverne,48.8333,7.25,11.17,50,7,2.74,FR,1676470449
211,labuhan,-6.8844,112.2051,24.64,92,100,4.18,ID,1676470450
212,tunceli,39.1083,39.5471,-5.13,91,77,0.88,TR,1676470451
213,mwingi,-0.9344,38.0601,31.57,28,3,5.1,KE,1676470452
214,isangel,-19.55,169.2667,24.15,73,40,3.35,VU,1676470453
215,vila velha,-20.3297,-40.2925,31.97,61,0,5.14,BR,1676470454
216,notse,6.95,1.1667,37.54,15,15,3.06,TG,1676470456
217,kaeo,-35.1,173.7833,16.85,94,100,2.03,NZ,1676470172
218,meulaboh,4.1363,96.1285,26.29,81,82,1.6,ID,1676470458
219,mayo,38.8876,-76.5119,11.67,75,100,5.66,US,1676470459
